subject_id,stimulus,stimulus_voice,face shown,stimulus_face,subject_response,actual_sentence,subject_response_unfixed
6j184sm03y,assets/list1/sounds/103.wav,indian,assets/list1/pictures/whitelady3.png,white,the boy ran away from school,the boy ran away from school,The boy ran away from school
6j184sm03y,assets/list1/sounds/30.wav,british,assets/list1/pictures/southasianlady1.png,south asian,you run with girls up a hill,the road goes up a hill,You run with girls up a hill
6j184sm03y,assets/list1/sounds/36.wav,british,assets/list1/pictures/whitelady3.png,white,europe is expansive,the food is expensive,Europe is expansive
6j184sm03y,assets/list1/sounds/82.wav,british,assets/list1/pictures/southasianlady1.png,south asian,mother got a birthday card,mother cut the birthday cake,Mother got a birthday card
6j184sm03y,assets/list1/sounds/56.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,where do you want to go?,the lady washed the shirt,Where do you want to go?
6j184sm03y,assets/list1/sounds/13.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the family likes fish,the family likes fish,The family likes fish
6j184sm03y,assets/list1/sounds/10.wav,american,assets/list1/pictures/whitelady3.png,white,the car is going too fast,the car is going too fast,The car is going too fast
6j184sm03y,assets/list1/sounds/60.wav,indian,assets/list1/pictures/whitelady3.png,white,the card is meaningful,the dog came home at last,The card is meaningful
6j184sm03y,assets/list1/sounds/51.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,then boy is unnoticed,the boy is running away,Then boy is unnoticed
6j184sm03y,assets/list1/sounds/89.wav,british,assets/list1/pictures/whitelady3.png,white,the news was tested,she uses her spoon to eat,The news was tested
6j184sm03y,assets/list1/sounds/24.wav,american,assets/list1/pictures/southasianlady1.png,south asian,her coat is on the chair,her coat is on a chair,Her coat is on the chair
6j184sm03y,assets/list1/sounds/61.wav,american,assets/list1/pictures/southasianlady1.png,south asian,they heard a funny noise,they heard a funny noise,They heard a funny noise
6j184sm03y,assets/list1/sounds/52.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the dolly is in the shed,a towel is near the sink,The dolly is in the shed
6j184sm03y,assets/list1/sounds/34.wav,british,assets/list1/pictures/southasianlady1.png,south asian,she cut the steak with her knife,she cut the steak with her knife,She cut the steak with her knife
6j184sm03y,assets/list1/sounds/98.wav,british,assets/list1/pictures/southasianlady1.png,south asian,that cannot be,they are coming for dinner,That cannot be
6j184sm03y,assets/list1/sounds/44.wav,indian,assets/list1/pictures/whitelady3.png,white,women are best at these,rain is good for trees,Women are best at these
6j184sm03y,assets/list1/sounds/75.wav,american,assets/list1/pictures/whitelady1.png,white,the shirts are in the closet,the shirts are in the closet,The shirts are in the closet
6j184sm03y,assets/list1/sounds/81.wav,british,assets/list1/pictures/southasianlady1.png,south asian,"the ball bounced, they're fine",the ball bounced very high,"The ball bounced, they're fine"
6j184sm03y,assets/list1/sounds/21.wav,british,assets/list1/pictures/whitelady1.png,white,she found her purse in the trash,she found her purse in the trash,She found her purse in the trash
6j184sm03y,assets/list1/sounds/55.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the gown was lost again,the janitor swept the floor,The gown was lost again
6j184sm03y,assets/list1/sounds/113.wav,indian,assets/list1/pictures/whitelady3.png,white,the apple pie is good,the apple pie is good,The apple pie is good
6j184sm03y,assets/list1/sounds/94.wav,british,assets/list1/pictures/whitelady3.png,white,the milkman tried his motor,the milkman drives a small truck,The milkman tried his motor
6j184sm03y,assets/list1/sounds/117.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the diary book is near,the cow is milked every day,The diary book is near
6j184sm03y,assets/list1/sounds/84.wav,british,assets/list1/pictures/whitelady3.png,white,she stuck more in there,she stood near the window,She stuck more in there
6j184sm03y,assets/list1/sounds/66.wav,american,assets/list1/pictures/whitelady1.png,white,the milk is by the front door,the milk was by the front door,The milk is by the front door
6j184sm03y,assets/list1/sounds/19.wav,american,assets/list1/pictures/whitelady1.png,white,the mailman brought a letter,the mailman brought a letter,The mailman brought a letter
6j184sm03y,assets/list1/sounds/33.wav,british,assets/list1/pictures/whitelady3.png,white,three hands can hold their bread,swimmers can hold their breath,Three hands can hold their bread
6j184sm03y,assets/list1/sounds/68.wav,american,assets/list1/pictures/whitelady3.png,white,the new road is on the map,the new road is on the map,The new road is on the map
